usda_symbol,scientific_name,common_name,family,states,habit,duration,height,spread,light,water,soil_moisture,bloom_time,bloom_color,leaf_retention,native_status,distribution,habitat,wildlife,propagation,bloom_notes,conditions_comments,fruit_type,soil_description,state
POTR5,Populus tremuloides,,". If you are not sure what you are looking for, try the","OR,WA",Tree,Perennial,,,"Sun ,  Part  Shade ,  Shade",High,"Dry ,  Moist ,  Wet","Mar ,  Apr ,  May ,  Jun","Yellow ,  Green ,  Brown",Deciduous,L48,USA:,"Stream  banks;  moist,  low  areas;  moist,  upland  woods;  disturbed  areas","Aspens  are  host  to  a  wide  array  of  birds,  mammals,  and  butterflies.  Seeds-granivorous  birds,  Browse",Propagation Material:,,"Quaking  aspen  reproduces  rapidly  from  seed  and  root  suckers.    It  is  short-lived  and  plagued  by  disease  and  insect  problems,  but  is  practically  indifferent  to  soil  conditions.    In  any  soil,  weeding  around  the",Capsule,"Igneous,  Limestone-based,  Sandy,  Sandy  Loam,  Medium  Loam,  Caliche  type,  Shallow,  moist,  rocky  ,  sandy  to  fine  clay  soils.",OR
PRSM,Prosartes smithii,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Part  Shade,,Moist,"Apr ,  May ,  Jun",White,,L48,USA:,"Moist,  open  to  deep  woods",,Description:,,Of  the  three  Northwest,Berry,"Moist,  rich  soils.",OR
PRVI,Prunus virginiana,,". If you are not sure what you are looking for, try the","OR,WA",Tree,Perennial,,,"Sun ,  Part  Shade ,  Shade",Medium,"Dry ,  Moist","Apr ,  May ,  Jun ,  Jul",White,Deciduous,L48,USA:,Moist  woods;  stream  banks;  prairie  hillsides;  fence  rows;  rocky  bluffs;  roadsides,"Blue-black  edible  cherries,  makes  good  jelly.  Important  food  for  wildlife  in  July  and  August.",Description:,,Chokecherry  is  remarkably  shade  tolerant  and  has  impressive  resilience  under  variable  growing  conditions.    Branches  break  off  easily  in  ice  storms.    Western  material  is  var.  demissa  and  var.  melanocarpa.,Caryopsis,"Rich,  moist  soils.      Limestone-based,  Sandy,  Sandy  Loam,  Medium  Loam,  Clay  Loam,  Clay",OR
PSME,Pseudotsuga menziesii,,". If you are not sure what you are looking for, try the","OR,WA",Tree,Perennial,,ing  bracts.    Rocky  Mountain  Douglas-fir  (,Part  Shade,Medium,Dry,Apr,"Red ,  Yellow",Evergreen,L48,USA:,"Moist,  well-drained,  mountain  sites","(1999) Damude, N. & K.C. Bender",Propagation Material:,Flowers  inconspicuous.  Pollen  cones  yellowish  red.,"Douglas  fir  in  the  Pacific  Northwest  can  reach  300  ft.    At  the  other  extreme,  some  Douglas  firs  in  Big  Bend  National  Park  grow  only  15  ft.  tall.    Branches  grow  to  the  ground  on",Caryopsis,"Igneous,  Limestone-based,  Sandy,  Sandy  Loam,  Moist,  well-drained,  neutral  or  slightly  acid  soils.",OR
PSSPS,Pseudoroegneria spicatassp.spicata,,". If you are not sure what you are looking for, try the","OR,WA",Grass/Grass-like,Perennial,,,Sun,Low,Dry,"Jun ,  Jul",Yellow,,L48,USA:,Plains;  dry  slopes;  canyons;  open  woods,,Description:,,This  is  a  good  species  to  stabilize  critical  areas.    It  is  drought  tolerant.,Caryopsis,"Dry,  rocky  or  thin  soils.",OR
PUTR2,Purshia tridentata,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,,,Sun,Low,Dry,"Apr ,  May ,  Jun ,  Jul","White ,  Yellow",Deciduous,L48,USA:,"Dry,  sagebrush  &  pinon-juniper  slopes;  3000-11,000  ft.",,Description:,,This,Achene,Dry  soils.,OR
QUCH2,Quercus chrysolepis,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,and  often  no  more  than  a  tallish,"ing,",Sun,Medium,Moist,"Mar ,  Apr ,  May",Yellow,Evergreen,L48,USA:,Canyons;  moist  slopes;  stream  banks,Seeds  are  eaten  by  squirrels  and  other  small  harvesters.,Propagation Material:,"Male  flowers  in  catkins,  female  flowers  in  short  spikes.",,Caryopsis,Various  moist  to  mesic-dry  soils.,OR
QUGA4,Quercus garryana,,". If you are not sure what you are looking for, try the","OR,WA",Tree,Perennial,,"ing  branches  form  a  wide,  round  crown.","Sun ,  Part  Shade ,  Shade",Low,"Dry ,  Moist","Mar ,  Apr ,  May","Yellow ,  Green ,  Brown",Deciduous,L48,USA:,"Dry,  wooded  slopes  &  prairies","and  were  eaten  by  Indians.    Planted  for  shade  and  ornament,  it  resembles  the  eastern  White  Oak  (",Description:,,,Caryopsis,"Dry,  gravelly  soils.",OR
QUKE,Quercus kelloggii,,". If you are not sure what you are looking for, try the","OR,WA",Tree,Perennial,,ing  branches.,Sun,Medium,,"Mar ,  Apr ,  May",Yellow,Deciduous,L48,USA:,Hills  &  mt.  slopes  from  1000-8000  ft.,,Description:,,Drought  resistant.,Caryopsis,Well-drained  soil.,OR
RHGL,Rhus glabra,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,,,"Sun ,  Part  Shade ,  Shade",Low,Dry,"May ,  Jun ,  Jul ,  Aug","White ,  Yellow ,  Green ,  Brown",Deciduous,L48,USA:,Roadsides;  fields;  wood  borders;  waste  places,"Consumed  by  birds  of  many  kinds  and  small  mammals,  mainly  in  winter.    Deer  browse  the  twigs  and",Propagation Material:,,"This  is  the  dominant  sumac  of  blackland  prairies.    Plants  of  Rocky  Mountain  origin  are  usually  separated  into  the  variety  cismontana.    This  dwarf  variety  is  becoming  popular  in  cultivation.    In  a  planned  landscape,  the  species  is  most  effective  when  drifts  or  colonies,  typical  of  natural  settings,  are  allowed  to  establish.    Colonies  can  be  rejuvenated  every  few  years  by  cutting  them  to  the  ground  in  mid-winter.    Sumacs  will  grow  in  dry  waste  areas,  such  as  impossible  slopes  where  even  junipers  struggle.    They  are  fast  growing,  generally  pest  and  disease-free,  and  drought-tolerant.    Colonies  are  often  single-sexed,  formed  from  a  single,  suckering  parent.    Only  female  plants  produce  flowers  and  berries.",Caryopsis,"Most  dry  soils.  Sandy,  Sandy  Loam  Medium  Loam,  Clay  Loam,  Clay,  Caliche  type",OR
RHMA3,Rhododendron macrophyllum,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,,,"Part  Shade ,  Shade",High,"Dry ,  Moist","Apr ,  May ,  Jun ,  Jul","Pink ,  Purple",Evergreen,L48,USA:,"Coastal,  montane  conifer  woods",,Description:,,,Capsule,"Moist  to  drier,  well-drained  soil.",OR
RHOC,Rhododendron occidentale,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,but  is  usually  3-9  ft.  tall.    The,ing,Part  Shade,High,Moist,"Apr ,  May ,  Jun ,  Jul ,  Aug","White ,  Pink ,  Orange ,  Yellow",Deciduous,L48,USA:,Stream  banks  and  other  moist  places  below  7500  ft.,,Description:,,A  parent  of  many  hybrid  azaleas.,Capsule,"Moist,  well-drained  soil.",OR
RISA,Ribes sanguineum,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,,,"Sun ,  Part  Shade ,  Shade",Medium,"Dry ,  Moist","Mar ,  Apr","White ,  Red ,  Pink",Deciduous,L48,USA:,Open  or  partly  shady  places  below  2000  ft.,A,Description:,,Fairly  adaptable.,Berry,"Moist  to  drier,  well-drained  soils.",OR
RONU,Rosa nutkana,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,,,"Sun ,  Part  Shade ,  Shade",High,"Dry ,  Moist","May ,  Jun ,  Jul",Pink,Deciduous,L48,USA:,"Dryish  to  moist,  wooded  to  open  sites",Bees,Description:,,"In  areas  where  both  R.  nutkana  and  R.  woodsii  occur,  R.  nutkana  is  typically  at  higher  elevations.    It  is  susceptible  to  fungal  problems.",Achene,Moist  to  drier  soils.,OR
ROWO,Rosa woodsii,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,,,"Sun ,  Part  Shade ,  Shade",Medium,"Dry ,  Moist","May ,  Jun ,  Jul",Pink,Deciduous,L48,USA:,Open  woods;  plains;  stream  banks;  stony  slopes,,Description:,,This  is  a  variable  species  with  a  number  of  varieties  occuring  throughout  the  western  states.    All  are  susceptible  to  fungal  problems.,Achene,Sandy  or  light  clay  soils.,OR
RUSP,Rubus spectabilis,,". If you are not sure what you are looking for, try the","OR,WA",Subshrub,Perennial,,,"Sun ,  Part  Shade ,  Shade",Medium,Moist,"Mar ,  Apr ,  May ,  Jun","Red ,  Pink ,  Purple",Deciduous,L48,USA:,"Low,  moist  woods;  stream  banks;  mt.  slopes","Very  high  for  songbirds,  game  birds,  and  large  and  small  mammals.",Description:,,Can  become  extremely  aggressive.,Aggregate,Moist  to  drier  soils.,OR
SABR6,Saxifraga bronchialis,,". If you are not sure what you are looking for, try the","OR,WA","at;  the  plants  grow  in  rock  crevices,  looking  as  if  they  had  split  the  rock.  Accordingly,  herbalists  once  used  some  species  in  a  treatment  for  ""stones""  in  the  urinary  tract.",Perennial,,,Part  Shade,,Dry,"Jun ,  Jul ,  Aug",White,,L48,USA:,"Rock  crevices;  open,  talus  slopes;  gravelly  tundra",,Description:,,,Capsule,Rocky  soil.,OR
SADO4,Salvia dorrii,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,"seeds  in  thin  layers  to  dry  a  few  days  before  storing  in  sealed,  refrigerated  containers.",Sun,Medium,Dry,"May ,  Jun",Blue,,L48,USA:,"Dry,  open  scabland  &  sagebrush  areas",,Description:,,,,"Dry,  perfectly  drained  soils.",OR
SASC,Salix scouleriana,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,,,"Sun ,  Part  Shade ,  Shade",High,"Dry ,  Moist","Feb ,  Mar ,  Apr ,  May ,  Jun",Yellow,Deciduous,L48,USA:,"Stream  banks,  sloughs  &  drier  areas  from  low-  to  mid-elevations.",,Description:,,Fast-growing.,Capsule,Moist  to  drier  soils.,OR
SCACA,Schoenoplectus acutusvar.acutus,,". If you are not sure what you are looking for, try the","OR,WA",Grass/Grass-like,Perennial,.    The,,Sun,High,Wet,"Apr ,  May",Green,,L48,USA:,Marshes;  ponds;  bogs,,Description:,,Withstands  alkalinity.    Very  valuable  for  providing  shoreline  protection.,Achene,Wet  soil  to  standing  water.,OR
SESP,Sedum spathulifolium,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,"Sun ,  Part  Shade",,Dry,"May ,  Jun ,  Jul ,  Aug",Yellow,,L48,USA:,Rocky  slopes  &  ledges  below  7500  ft.,,Description:,,"Plants  work  best  when  set  at  an  angle  so  water  drains  off  the  crown.    Stonecrop  appreciates  some  summer  water.  Try  growing  in  rock  wall;  prefers  dry,  nutrient-poor,  thin  soils.",Caryopsis,Well-drained  soil.,OR
SHCA,Shepherdia canadensis,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,,,"Sun ,  Part  Shade ,  Shade",Medium,"Dry ,  Moist","Apr ,  May",Yellow,Deciduous,L48,USA:,"Moist  slopes;  wooded,  rocky  hillsides;  conifer  openings",,Description:,,Tolerates  the  poorest  of  soils;  does  well  in  dry  or  alkaline  situations.    Low  maintenance.    Extremely  cold-  and  drought-tolerant.    For,Berry,"Adaptable,  but  prefers  moist,  rocky  soils.",OR
SIAC,Silene acaulis,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Sun,,,"Jun ,  Jul ,  Aug","Pink ,  Purple",,L48,USA:,"Moist,  chalky  rock  crevices  in  high  mts.",,Description:,,"This  is  a  trouble-free,  rock  garden  plant.",Capsule,"Rich,  scree  soil.",OR
SIBE,Sisyrinchium bellum,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Part  Shade,,,"Mar ,  Apr ,  May","Blue ,  Purple",,L48,USA:,"Variable,  but  mostly  open,  grassy  places  below  3000  ft.",,Description:,,"Blue-eyed  grass  will  become  very  drought  tolerant  when  established  and  may  self-sow.    While  flowering,  the  species  benefits  from  temporarily  moist  soil,  but  the  soil  should  be  dry  in  summer.",Capsule,Various  soils.,OR
SIHO,Silene hookeri,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,"ing  stems  in  a  cluster,  few  branches,  and  several  flowers  with  deeply  divided  petals  at  branch  ends.",Part  Shade,,,"Apr ,  May ,  Jun","Pink ,  Purple",,L48,USA:,Fields;  open  to  wooded  hillsides,,Description:,,Does  best  with  in  rock  gardens  with  summer  heat  and  generous  winter  rains.,Capsule,Very  well-drained  soils.,OR
SPAI,Sporobolus airoides,,". If you are not sure what you are looking for, try the","OR,WA",Grass/Grass-like,Perennial,,,Part  Shade,Low,Moist,"Jun ,  Jul ,  Aug ,  Sep ,  Oct ,  Nov",Yellow,,L48,USA:,Sandy  or  gravelly  slopes;  saline  flats;  floodplains,,Description:,,"Alkali  sacaton  is  tolerant  of  flooding,  drought,  and  saline-alkaline  conditions.    It  is  good  for  dust  control  and  soil  protection  on  saline-alkaline  soils  with  limited  moisture  availability.",Caryopsis,"Moist  to  dry,  alkaline,  fine-textured  soils.  Sandy,  Sandy  Loam,  Medium  Loam  Clay  Loam,  Clay,  Caliche  type,  Saline  tolerant",OR
SPCR,Sporobolus cryptandrus,,". If you are not sure what you are looking for, try the","OR,WA",Grass/Grass-like,Perennial,.,ing  or  sometimes  reflexed  branches.,"Sun ,  Part  Shade",Low,Dry,"May ,  Jun ,  Jul ,  Aug ,  Sep ,  Oct ,  Nov",Yellow,,L48,USA:,"Roadsides,  Prairie,  Plains,  Meadows,  Pastures,  Savannas","(1999) Damude, N. & K.C. Bender",Description:,,Sand  dropseed  adapts  to  most  soils  but  thrives  on  sandy  sites.    It  is  considered  an  invader  on  Midwest  rangeland  where  grazing  animals  prefer  it  less  than  other  grasses.    It  establishes  easily  and  is  widely  used  for  controlling  erosion  on  a  variety  of  sites.,Caryopsis,"Sandy  soils.  Sandy,  Sandy  Loam,  Desturbed",OR
SPDO,Spiraea douglasii,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,,,Part  Shade,Low,Moist,"Jun ,  Jul ,  Aug ,  Sep",Pink,Deciduous,L48,USA:,"Low,  damp  places  below  6000  ft.",,Description:,,,Aggregate,Moist  soils.,OR
SPSPS,Spiraea splendensvar.splendens,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,,,Sun,,Wet,"Jun ,  Jul ,  Aug",Pink,Deciduous,L48,USA:,"Wet,  open  meadows;  wooded  or  open,  rocky  slopes;  stream  banks;  2000-11,000  ft.",,Description:,,,Aggregate,"Moist  to  wet,  rocky  soils.",OR
SYAS3,Symphyotrichum ascendens,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Sun,,Moist,"Jul ,  Aug ,  Sep ,  Oct",Purple,,L48,USA:,Moist  or  dry  meadows  or  woodland  openings;  250-7000  ft.,,Commercially Avail:,,This  plant  is  not  reliably  drought  tolerant.,,Moist  to  drier  soils.,OR
SYFOF,Symphyotrichum foliaceumvar.foliaceum,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,"and  variable  species,  Leafy  Aster  typically  grows  to  almost  2  ft.  with",Part  Shade,Medium,Moist,"Jul ,  Aug ,  Sep",Purple,,L48,USA:,"Moist,  wooded  places","Attracts  orange  sulfur,  red  admiral,  comma,  and  skipper  butterflies.",Description:,,,,Moist  soils.,OR
TABR2,Taxus brevifolia,,". If you are not sure what you are looking for, try the","OR,WA",Tree,Perennial,,,"Sun ,  Part  Shade ,  Shade",Low,"Dry ,  Moist","Jun ,  Jul",Yellow,Evergreen,L48,USA:,"Damp,  partly  shady,  mt.  ravines  below  7000  ft.",,protocol,Flowers  inconspicuous.  Pollen  cones  yellowish.,,Caryopsis,Moist  soils.,OR
TEGR2,Tellima grandiflora,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,"Sun ,  Part  Shade ,  Shade",,Moist,"Apr ,  May ,  Jun ,  Jul","White ,  Pink ,  Green ,  Brown",,L48,USA:,"Cool,  moist  woods  &  rocky  places  below  5000  ft.",Hummingbirds  are  attracted  to  the  flowers.,Description:,,Fringe  cups  can  be  somewhat  aggressive.    The  plants  are  susceptible  to  mildew.,Capsule,"Moist,  rich,  well-drained  soils.",OR
THPL,Thuja plicata,,". If you are not sure what you are looking for, try the","OR,WA",Tree,Perennial,"is  50-75  ft.,  but  it  can  grow  to  200  ft.    The  aromatic  foliage  is  bright  green  and  scale-like,  forming  horizontal  sprays  which  bronzes  to  crimson-purple  in  winter.    Large  to  very  large",ing  branches  drooping  at  ends;  foliage  is  resinous  and  aromatic.,"Part  Shade ,  Shade",Medium,"Moist ,  Wet",Apr,"Red ,  Purple",Evergreen,L48,USA:,Moist  flats;  river  banks;  swamps,,Description:,,"Western  red  cedar  is  a  very  useful,  ornamental  conifer.    It  responds  nicely  to  pruning  and  is  sometimes  used  as  hedge  material.    It  has  a  slow  to  medium  growth  rate,  is  susceptible  to  bagworm  and  heart  rot,  and  is  pH  adaptable.",Caryopsis,"Moist,  slightly  acidic  soils.",OR
TITRU,Tiarella trifoliatavar.unifoliata,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Shade,,,"May ,  Jun ,  Jul",White,,L48,USA:,Shaded  north  slopes  below  2000  ft.,,Commercially Avail:,,,Capsule,"Cool,  damp  (in  summer)  soils.",OR
TOME,Tolmiea menziesii,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Shade,,Moist,"May ,  Jun ,  Jul ,  Aug","Green ,  Purple",,L48,USA:,Moist  woods;  stream  banks,,Description:,,This  unusual  plant  reproduces  vegetatively  by  developing  plantlets  at  the  juncture  of,Capsule,"Moist,  rich  soils.",OR
TRBOL,Trientalis borealisssp.latifolia,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,"of  this  charming  plant.  Although  it  is  commonly  called  Indian  Potato,  because  of  the  small  underground  swelling  at  the  base  of  the",s  once  established  but  is  never  invasive.,Shade,,,"Apr ,  May ,  Jun ,  Jul","White ,  Pink",,L48,USA:,Woods  below  4500  ft.,,Description:,,An  excellent  ground  cover  for  cooler  climates;  it  spreads  once  established  but  is  never  invasive.,Capsule,"Damp,  cool,  humus-rich  soil.",OR
TROV2,Trillium ovatum,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,"Part  Shade ,  Shade",,"Moist ,  Wet","Feb ,  Mar ,  Apr ,  May ,  Jun",White,,L48,USA:,"Moist,  wooded  slopes;  stream  banks",Other  Showy  Insects,Description:,,Do  not  let  them  dry  out.,Berry,"Cool,  moist  soils.",OR
TRSP2,Trisetum spicatum,,". If you are not sure what you are looking for, try the","OR,WA","at,  with  the  greatest  diversity  of  species  found  in  the  tropical  zone,  and  the  greatest  abundance  in  the  temperate  regions.",Perennial,,,Sun,Medium,Moist,,Yellow,,L48,USA:,"Alpine  meadows  &  slopes,  descending  to  lower  plains  &  lakeshores  in  northern  regions",,Description:,,Several  varieties  have  been  proposed  for  this  species.    The  most  outstanding  is  var.  molle  with  densely  pubscent  foliage.,Caryopsis,"Moist,  gravelly  soil.",OR
TSHE,Tsuga heterophylla,,". If you are not sure what you are looking for, try the","OR,WA",Tree,Perennial,,,"Sun ,  Part  Shade ,  Shade",Medium,"Moist ,  Wet",Apr,Purple,Evergreen,L48,USA:,"Moist,  alluvial  areas;  wooded  slopes  below  2000  ft.",,Description:,,Western  hemlock  responds  best  in  areas  with  high  humidity  and  low  summer  temperatures.    Seedlings  do  well  in  shade.,Caryopsis,Moist  to  mesic  soils.,OR
TSME,Tsuga mertensiana,,". If you are not sure what you are looking for, try the","OR,WA",Tree,Perennial,,,"Sun ,  Part  Shade ,  Shade",High,Moist,"Jun ,  Jul","Yellow ,  Green ,  Brown",Evergreen,L48,USA:,"Moist,  rich,  wooded,  subalpine  slopes;  6000-11,000  ft.",,Description:,,"The  extremely  slow-growing  mountain  hemlock  is  good  for  a  small  garden.    It  is  not  tolerant  of  pollution,  extreme  heat  or  southern  sunshine,  but  adapts  to  a  variety  of  soils  and  habitats  including  harsh,  dry,  windy  sites.",Caryopsis,"Cool,  moist  soils.",OR
TYLA,Typha latifolia,,". If you are not sure what you are looking for, try the","OR,WA","at  for  red-winged  blackbirds,  as  well  as  other  marsh  birds,  and  muskrats.    The  latter  can  cause  extensive  ""eat  outs,""  creating  areas  of  open    water  in  the  marsh.    The  rootstock  is  mostly  starch  and  edible;  it  was  ground  into  meal  by",Perennial,"of  7  feet,  but  may  be  up  to  about  10  feet.  Stems  are  tall,  erect  and  unbranched.",,"Sun ,  Part  Shade",High,Wet,"Apr ,  May ,  Jun","Yellow ,  Green ,  Brown",Evergreen,L48,USA:,"Cattails  are  considered  a  sign  of  a  transitional  environment  because  they  grow  where  land  is  changing  from  a  wet  to  dry  habitat.  Creating  dense  monocultures,  their  aggressive  behavior  often  requires  management  much  like  weeds.  Cattails  occur  in  freshwater  wetlands,  from  sea  level  to  7,000  ft,  usually  in  water  not  greater  than  8""  deep.  They  can  also  survive  in  constantly  damp  soil  without  standing  water.  Where  most  plants  are  concerned  with  getting  enough  water,  cattails  face  the  unusual  challenge  of  getting  enough  oxygen.  This  plant  has  creatively  evolved  leaves  with  large  air  vessels  that  transfer  the  needed  oxygen  to  the  submerged  rhizome.","Cattails  provide  nesting  sites  for  red-winged  blackbirds,  ducks,  geese  and  fish.  Nutria,  muskrats  and  beavers  enjoy  the  shoots  and  roots,  while  teal  ducks,  finches  and  least  bitterns  eat  the  seeds.",Propagation Material:,"In  early  spring,  the  male,","Many  people  have  clear  memories  as  a  child,  playing  with  the  fluff  of  a  Cat-tail.    You  can  grow  them  in  a  pond  or  container  that  does  not  drain  and  the  flowers  look  stunning  in  flower  arrangements.",Caryopsis,"Rich,  wet  soils.  Mud,  Saline  tolerant",OR
UMCA,Umbellularia californica,,". If you are not sure what you are looking for, try the","OR,WA","at.    Broad-crowned  if  open  grown  or  narrow  in  shade,  it  is  a  slow  grower  to  40,  or  many  more,  ft.  and  sometimes  remains  an  erect",Perennial,,"ing  branches,  forming  a  broad,  rounded,  dense  crown  of  aromatic,  peppery  foliage;  in  exposed  situations  a  low,  thicket-forming  shrub.",Part  Shade,High,Moist,"Jan ,  Feb ,  Mar ,  Apr ,  May ,  Dec","Yellow ,  Green",Evergreen,L48,USA:,"Moist  canyons,  streams  &  pond  edges",,Description:,,California  bay  laurel  tolerates  serpentine  (high  magnesium)  soils.    It  is  a  very  refined  plant.,Caryopsis,Moist  soils.,OR
VAHE,Vancouveria hexandra,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Shade,Medium,Moist,"May ,  Jun",White,Deciduous,L48,USA:,"Moist  to  drier,  shady  woods",,Description:,,A  vigorous  ground  cover.,Caryopsis,Damp  to  mesic  soils.,OR
VAOV2,Vaccinium ovatum,,". If you are not sure what you are looking for, try the","OR,WA",and  attractive  leaves.    The  leathery  leaves  are,Perennial,,,"Sun ,  Part  Shade ,  Shade",Low,"Dry ,  Moist","Mar ,  Apr ,  May",Pink,Evergreen,L48,USA:,"Dry,  shaded  slopes;  moister,  woodland  edges",Birds  and  mammals  eat  the  berries.,Description:,,Slow-growing.    May  become  spindly  with  extremes  of  moisture  and  shade.,Berry,"Poor,  acid,  well-drained  soil.",OR
VAPA,Vaccinium parvifolium,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,,",  especially  on  acid  soils,  with  about  1500  species,  mostly  shrubs,  sometimes  trees;  15","Sun ,  Part  Shade ,  Shade",Low,"Dry ,  Moist","May ,  Jun","White ,  Pink ,  Green",Deciduous,L48,USA:,"Dry  to  moist,  conifer  woods  &  openings  below  5000  ft.",Birds  and  mammals  eat  berries.,Description:,,,Berry,"Moist,  rich,  acid  soils.",OR
VIED,Viburnum edule,,". If you are not sure what you are looking for, try the","OR,WA",Shrub,Perennial,,,"Sun ,  Part  Shade ,  Shade",,Moist,"May ,  Jun",White,Deciduous,L48,USA:,"Moist,  wooded  areas",Fruit,Seed Collection:,,The,Caryopsis,"Cool,  moist  soils.",OR
VIGL,Viola glabella,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,"Part  Shade ,  Shade",,"Moist ,  Wet","Mar ,  Apr ,  May ,  Jun ,  Jul",Yellow,,L48,USA:,"Cool,  moist  redwood  forests;  stream  banks",,Description:,,Smooth  yellow  violet  is  easy  to  establish  in  woodland  gardens.    It  may  reseed  and  can  become  a  bit  invasive.,Capsule,Moist  to  wet  soils.,OR
VIMA2,Viola macloskeyi,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Part  Shade,High,Moist,"May ,  Jun ,  Jul ,  Aug",White,,L48,USA:,"Wet  banks  &  meadows  from  3500-11,000  ft.",,Description:,,,Capsule,Moist  summer  soils.,OR
VIVAV,Viola vallicolavar.vallicola,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Sun,,,"Apr ,  May ,  Jun ,  Jul","Yellow ,  Purple",,L48,USA:,Sagebrush  &  sagebrush/ponderosa  pine  benchlands,,Description:,,,Capsule,"Drier,  well-drained  soils.",OR
WHMO,Whipplea modesta,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,".  From  long,  trailing,  rooting  stems  grow  many  erect  shoots,  each  tipped  with  a  small",,Shade,,Dry,"May ,  Jun ,  Jul",White,,L48,USA:,Shaded  slopes  below  4500  ft.,,Description:,,Needs  some  summer  moisture.    Useful  as  a  ground  cover  and  soil  stabilizer.    Aromatic  foliage.,Capsule,Rocky  soils.,OR
WOFI,Woodwardia fimbriata,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Part  Shade,,Moist,,Not  Applicable,Evergreen,L48,USA:,Springy  &  boggy  places;  stream  banks,,Description:,Not  a  flowering  plant.  Reproduces  by  spores.,Old  fronds  of  chain,,Moist  soils.,OR
WYAN,Wyethia angustifolia,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Sun,,,"Apr ,  May ,  Jun ,  Jul",Yellow,,L48,USA:,"Open,  grassy  slopes;  moist,  open  hillsides",,Description:,,Mule  ears  is  fall  dormant.    Old  dead  flower  heads  can  be  cut  off  unless  the  edible  seed  is  desired.,,Variable  with  occasional  summer  moisture.,OR
XETE,Xerophyllum tenax,,". If you are not sure what you are looking for, try the","OR,WA",Herb,Perennial,,,Sun,Low,,"May ,  Jun ,  Jul ,  Aug",White,Evergreen,L48,USA:,"Open  woods,  dry  slopes  &  ridges  below  6000  ft.","Rocky  Mt.  goats  eat  this  plant  in  winter.    The  tough  leaves,  however,  are  unpalatable  to  all  other  grazers.",Description:,,"Beargrass  is  a  pioneer  species  in  some  habitats  and  disappears  after  taller  plants  shade  it  out.    It  is  not  a  reliable  bloomer  in  a  garden  setting  but  the  leaves  are  attractive.    In  nature,  beargrass  flowers  profusely  the  season  after  a  fire.    After  flowering,  the  leafy  tuft  supporting  the  flower  stalk  dies,  but  young  offset  clumps  will  have  already  formed  to  replace  the  old.",Capsule,Variable.,OR
ERAM,Erythranthe ampliata,,". If you are not sure what you are looking for, try the",WA,Herb,Annual,,,"Sun ,  Part  Shade",Medium,Moist,"Jun ,  Jul","White ,  Yellow ,  Brown",,L48,USA:,"""Basalt  outcrops,  seepy  roadcuts,  grassland  seeps.",,,"""Phenology:  Flowering  Jun-Jul.""  (Webref:  38).",,,,WA
KAPO,Kalmia polifolia,,". If you are not sure what you are looking for, try the",WA,Shrub,Perennial,,,"Sun ,  Part  Shade ,  Shade",Medium,Wet,"May ,  Jun","White ,  Pink",Evergreen,L48,USA:,"Cold  bogs;  cold,  wet,  mt.  meadows",,Description:,,Chlorosis  is  caused  by  iron  deficiency  on  limy  soils.    Swamp  laurel  is  shade  and  flood  tolerant.,Capsule,"Wet,  organic  soils  &  peat.",WA
